X,Y
3.8462,5.3205
7.4359,11.859
8.7179,20.3205
9.2308,44.9359
12.0513,12.2436
13.8462,23.0128
14.8718,29.5513
15.8974,38.3974
18.9744,41.4744
19.7436,33.7821
22.0513,53.3974
22.0513,46.0897
25.1282,36.859
28.2051,53.3974
29.4872,40.3205
31.0256,61.859
34.6154,58.0128
36.1538,66.859
37.9487,51.4744
41.7949,61.4744
44.8718,71.4744
47.6923,65.7051
51.7949,61.0897
51.0256,69.5513
56.1538,66.4744
56.4103,58.0128
62.3077,59.5513
68.2051,67.2436
65.1282,54.1667
70.2564,87.2436
70.5128,52.6282
75.1282,60.3205
75.8974,46.859
75.8974,69.9359
78.9744,64.9359
79.7436,74.5513
81.2821,38.0128
81.2821,48.0128
82.0513,83.0128
84.1026,64.5513
86.1538,72.6282
87.6923,57.6282
91.5385,83.3974
92.5641,69.5513
94.359,23.7821
99.2308,58.3974
99.7436,89.1667
